Timestamp (seconds),Hand X,Hand Y,In Zone (1=Yes/0=No),Part Placed
5.980,437.50,187.73,0,
5.994,437.50,187.73,0,
6.002,437.50,187.73,0,
6.010,437.50,187.73,0,
6.024,437.50,187.73,0,
6.034,437.50,187.73,0,
6.040,437.50,187.73,0,
6.055,437.50,187.73,0,
6.060,437.50,187.73,0,
6.074,437.50,187.73,0,
6.082,437.50,187.73,0,
6.092,437.50,187.73,0,
6.105,437.50,187.73,0,
6.114,437.50,187.73,0,
6.123,437.50,187.73,0,
6.132,437.50,187.73,0,
6.140,437.50,187.73,0,
6.153,437.50,187.73,0,
6.161,437.50,187.73,0,
6.172,437.50,187.73,0,
6.183,437.50,187.73,0,
6.193,437.50,187.73,0,
6.201,437.50,187.73,0,
6.212,437.50,187.73,0,
6.224,437.50,187.73,0,
6.232,437.50,187.73,0,
6.242,437.50,187.73,0,
6.253,437.50,187.73,0,
6.260,437.50,187.73,0,
6.274,437.50,187.73,0,
6.285,437.50,187.73,0,
6.290,437.50,187.73,0,
6.301,437.50,187.73,0,
6.316,437.50,187.73,0,
6.321,437.50,187.73,0,
6.334,437.50,187.73,0,
6.346,437.50,187.73,0,
6.354,437.50,187.73,0,
6.363,437.50,187.73,0,
6.372,437.50,187.73,0,
6.383,437.50,187.73,0,
6.394,437.50,187.73,0,
6.405,437.50,187.73,0,
6.412,437.50,187.73,0,
6.422,437.50,187.73,0,
6.431,437.50,187.73,0,
6.441,437.50,187.73,0,
6.451,437.50,187.73,0,
6.463,437.50,187.73,0,
6.473,437.50,187.73,0,
6.482,437.50,187.73,0,
6.491,437.50,187.73,0,
6.504,437.50,187.73,0,
6.515,437.50,187.73,0,
6.522,437.50,187.73,0,
6.534,437.50,187.73,0,
6.540,437.50,187.73,0,
6.555,437.50,187.73,0,
6.561,437.50,187.73,0,
6.575,437.50,187.73,0,
6.581,437.50,187.73,0,
6.596,437.50,187.73,0,
6.602,437.50,187.73,0,
6.621,437.50,187.73,0,
6.634,437.50,187.73,0,
6.641,437.50,187.73,0,
6.648,437.50,187.73,0,
6.653,437.50,187.73,0,
6.661,437.50,187.73,0,
6.673,437.50,187.73,0,
6.683,437.50,187.73,0,
6.693,437.50,187.73,0,
6.705,437.50,187.73,0,
6.712,437.50,187.73,0,
6.725,437.50,187.73,0,
6.735,437.50,187.73,0,
6.741,437.50,187.73,0,
6.753,437.50,187.73,0,
6.766,437.50,187.73,0,
6.772,437.50,187.73,0,
6.787,437.50,187.73,0,
6.794,437.50,187.73,0,
6.804,437.50,187.73,0,
6.813,437.50,187.73,0,
6.828,437.50,187.73,0,
6.835,437.50,187.73,0,
6.840,437.50,187.73,0,
6.852,437.50,187.73,0,
6.863,437.50,187.73,0,
6.875,437.50,187.73,0,
6.885,437.50,187.73,0,
6.898,437.50,187.73,0,
6.913,437.50,187.73,0,
6.927,437.50,187.73,0,
6.933,437.50,187.73,0,
6.938,437.50,187.73,0,
6.946,437.50,187.73,0,
6.957,437.50,187.73,0,
6.961,437.50,187.73,0,
6.974,437.50,187.73,0,
6.985,437.50,187.73,0,
6.994,437.50,187.73,0,
7.004,437.50,187.73,0,
7.016,437.50,187.73,0,
7.021,437.50,187.73,0,
7.033,437.50,187.73,0,
7.042,437.50,187.73,0,
7.054,437.50,187.73,0,
7.064,437.50,187.73,0,
7.071,437.50,187.73,0,
7.081,437.50,187.73,0,
7.093,437.50,187.73,0,
7.102,437.50,187.73,0,
7.111,437.50,187.73,0,
7.124,437.50,187.73,0,
7.134,437.50,187.73,0,
7.142,437.50,187.73,0,
7.154,437.50,187.73,0,
7.161,437.50,187.73,0,
7.171,437.50,187.73,0,
7.184,437.50,187.73,0,
7.196,437.50,187.73,0,
7.201,437.50,187.73,0,
7.212,437.50,187.73,0,
7.221,437.50,187.73,0,
7.231,437.50,187.73,0,
7.241,437.50,187.73,0,
7.251,437.50,187.73,0,
7.262,437.50,187.73,0,
7.273,437.50,187.73,0,
7.282,437.50,187.73,0,
7.293,437.50,187.73,0,
7.302,437.50,187.73,0,
7.313,437.50,187.73,0,
7.324,437.50,187.73,0,
7.333,437.50,187.73,0,
7.343,437.50,187.73,0,
7.353,437.50,187.73,0,
7.361,437.50,187.73,0,
7.371,437.50,187.73,0,
7.381,437.50,187.73,0,
7.393,437.50,187.73,0,
7.401,437.50,187.73,0,
7.413,437.50,187.73,0,
7.425,437.50,187.73,0,
7.431,437.50,187.73,0,
7.441,437.50,187.73,0,
7.456,437.50,187.73,0,
7.463,437.50,187.73,0,
7.472,437.50,187.73,0,
7.485,437.50,187.73,0,
7.490,437.50,187.73,0,
7.501,437.50,187.73,0,
7.514,437.50,187.73,0,
7.522,437.50,187.73,0,
7.533,437.50,187.73,0,
7.541,437.50,187.73,0,
7.555,437.50,187.73,0,
7.560,437.50,187.73,0,
7.570,437.50,187.73,0,
7.582,437.50,187.73,0,
7.595,437.50,187.73,0,
7.604,437.50,187.73,0,
7.613,437.50,187.73,0,
7.626,437.50,187.73,0,
7.631,437.50,187.73,0,
7.643,437.50,187.73,0,
7.655,437.50,187.73,0,
7.664,437.50,187.73,0,
7.670,437.50,187.73,0,
7.681,437.50,187.73,0,
7.692,437.50,187.73,0,
7.701,437.50,187.73,0,
7.713,437.50,187.73,0,
7.724,437.50,187.73,0,
7.734,437.50,187.73,0,
7.745,437.50,187.73,0,
7.750,437.50,187.73,0,
7.764,437.50,187.73,0,
7.773,437.50,187.73,0,
7.782,437.50,187.73,0,
7.792,437.50,187.73,0,
7.802,437.50,187.73,0,
7.813,437.50,187.73,0,
7.823,437.50,187.73,0,
7.836,437.50,187.73,0,
7.845,437.50,187.73,0,
7.854,437.50,187.73,0,
7.865,437.50,187.73,0,
7.875,437.50,187.73,0,
7.884,437.50,187.73,0,
7.896,437.50,187.73,0,
7.903,437.50,187.73,0,
7.912,437.50,187.73,0,
7.921,437.50,187.73,0,
7.931,437.50,187.73,0,
7.946,437.50,187.73,0,
7.953,437.50,187.73,0,
7.963,437.50,187.73,0,
7.974,437.50,187.73,0,
7.981,437.50,187.73,0,
7.994,437.50,187.73,0,
8.002,437.50,187.73,0,
8.010,437.50,187.73,0,
8.022,437.50,187.73,0,
8.034,437.50,187.73,0,
8.042,437.50,187.73,0,
8.052,437.50,187.73,0,
8.064,437.50,187.73,0,
8.074,437.50,187.73,0,
8.083,437.50,187.73,0,
8.092,437.50,187.73,0,
8.104,437.50,187.73,0,
8.113,437.50,187.73,0,
8.121,437.50,187.73,0,
8.132,437.50,187.73,0,
8.142,437.50,187.73,0,
8.156,437.50,187.73,0,
8.161,437.50,187.73,0,
8.174,437.50,187.73,0,
8.183,437.50,187.73,0,
8.195,437.50,187.73,0,
8.200,437.50,187.73,0,
8.211,437.50,187.73,0,
8.225,437.50,187.73,0,
8.234,437.50,187.73,0,
8.242,437.50,187.73,0,
8.250,437.50,187.73,0,
8.262,437.50,187.73,0,
8.273,437.50,187.73,0,
8.283,437.50,187.73,0,
8.294,437.50,187.73,0,
8.303,437.50,187.73,0,
8.312,437.50,187.73,0,
8.323,437.50,187.73,0,
8.332,437.50,187.73,0,
8.341,437.50,187.73,0,
8.355,437.50,187.73,0,
8.362,437.50,187.73,0,
8.374,437.50,187.73,0,
8.383,437.50,187.73,0,
8.391,437.50,187.73,0,
8.400,437.50,187.73,0,
8.413,437.50,187.73,0,
8.423,437.50,187.73,0,
8.433,437.50,187.73,0,
8.443,437.50,187.73,0,
8.450,437.50,187.73,0,
8.463,437.50,187.73,0,
8.476,437.50,187.73,0,
8.482,437.50,187.73,0,
8.491,437.50,187.73,0,
8.503,437.50,187.73,0,
8.511,437.50,187.73,0,
8.525,437.50,187.73,0,
8.535,437.50,187.73,0,
8.544,437.50,187.73,0,
8.555,437.50,187.73,0,
8.563,437.50,187.73,0,
8.575,437.50,187.73,0,
8.586,437.50,187.73,0,
8.599,437.50,187.73,0,
8.605,437.50,187.73,0,
8.614,437.50,187.73,0,
8.623,437.50,187.73,0,
8.635,437.50,187.73,0,
8.644,437.50,187.73,0,
8.656,437.50,187.73,0,
8.661,437.50,187.73,0,
8.673,437.50,187.73,0,
8.682,437.50,187.73,0,
8.694,437.50,187.73,0,
8.702,437.50,187.73,0,
8.711,437.50,187.73,0,
8.728,437.50,187.73,0,
8.737,437.50,187.73,0,
8.743,437.50,187.73,0,
8.756,437.50,187.73,0,
8.764,437.50,187.73,0,
8.775,437.50,187.73,0,
8.780,437.50,187.73,0,
8.792,437.50,187.73,0,
8.806,437.50,187.73,0,
8.811,437.50,187.73,0,
8.821,437.50,187.73,0,
8.835,437.50,187.73,0,
8.841,437.50,187.73,0,
8.853,437.50,187.73,0,
8.863,437.50,187.73,0,
8.872,437.50,187.73,0,
8.882,437.50,187.73,0,
8.896,437.50,187.73,0,
8.902,437.50,187.73,0,
8.911,437.50,187.73,0,
8.923,437.50,187.73,0,
8.935,437.50,187.73,0,
8.944,437.50,187.73,0,
8.954,437.50,187.73,0,
8.963,437.50,187.73,0,
8.975,437.50,187.73,0,
8.983,437.50,187.73,0,
8.995,437.50,187.73,0,
9.001,437.50,187.73,0,
9.012,437.50,187.73,0,
9.020,437.50,187.73,0,
9.035,437.50,187.73,0,
9.044,437.50,187.73,0,
9.054,437.50,187.73,0,
9.064,437.50,187.73,0,
9.075,437.50,187.73,0,
9.084,437.50,187.73,0,
9.092,437.50,187.73,0,
9.106,437.50,187.73,0,
9.113,437.50,187.73,0,
9.123,437.50,187.73,0,
9.133,437.50,187.73,0,
9.147,437.50,187.73,0,
9.153,437.50,187.73,0,
9.161,437.50,187.73,0,
9.172,437.50,187.73,0,
9.183,437.50,187.73,0,
